gender,age,height,weight,bust_circumference,waist_circumference,hip_circumference
M,18,1674,52.9,790,655,851
M,18,1678,55.8,825,654,880
M,23,1790,57.5,800,650,870
F,37,1626,66.3,962,820,997
M,24,1722,69.2,948,785,937
M,57,1696,72.5,940,894,936
M,33,1710,72.7,940,810,988
F,19,1557,49.5,814,690,900
F,38,1577,62.1,885,745,1025
M,17,1654,61.3,845,738,910
F,26,1744,89.0,1042,908,1084
F,58,1539,54.6,891,800,875
F,16,1614,55.4,830,690,966
M,62,1716,75.9,1012,900,932
M,16,1714,59.2,823,690,890
F,45,1700,72.7,941,854,1055
M,26,1770,69.2,895,785,935
F,35,1562,46.7,778,634,893
M,34,1640,72.3,910,858,1008
M,25,1710,55.9,835,725,864
M,20,1739,67.2,955,830,930
M,35,1796,80.2,990,870,1004
F,33,1605,58.0,872,756,945
F,16,1572,54.2,803,707,920
M,26,1786,72.8,971,813,940
F,46,1490,62.7,930,835,1005
M,37,1766,77.1,958,890,982
M,16,1679,83.3,1012,896,1070
M,29,1713,59.0,828,697,902
F,19,1646,59.7,875,795,985
F,31,1600,52.0,806,746,933
M,38,1695,76.6,999,890,962
M,24,1715,70.6,906,789,977
F,33,1565,46.1,736,670,911
F,25,1655,49.0,776,673,895
M,42,1770,64.8,895,735,915
M,20,1739,79.7,1012,888,982
F,42,1654,57.2,825,748,935
F,42,1580,67.3,986,900,1015
F,18,1630,52.6,878,678,905
M,31,1770,69.1,895,760,920
F,46,1646,54.2,822,720,928
M,35,1691,57.4,893,765,872
F,17,1600,74.5,995,811,1055
F,22,1500,49.8,814,670,962
M,48,1696,69.7,910,838,945
M,26,1718,68.3,874,795,937
M,56,1652,72.4,965,942,945
M,21,1734,66.0,880,765,920
M,26,1641,63.4,835,797,817
F,18,1625,61.6,858,675,963
M,18,1778,83.2,946,875,1080
M,35,1682,71.5,911,805,972
M,24,1695,73.3,931,881,953
M,16,1630,68.0,930,825,970
F,21,1595,53.0,842,735,898
M,36,1838,80.9,967,819,970
M,24,1753,92.2,1093,990,1070
M,19,1730,67.2,920,715,928
M,39,1770,88.0,992,955,1048
F,18,1660,73.9,970,921,1005
M,37,1711,71.4,966,852,955
F,37,1625,53.0,820,682,915
F,20,1540,57.7,940,745,913
M,19,1760,85.1,994,992,1043
M,16,1655,45.0,766,616,780
F,31,1558,51.1,886,765,880
F,19,1558,49.9,747,641,910
F,34,1643,56.2,810,700,934
F,18,1662,63.9,872,735,967
F,47,1584,68.2,1015,889,991
M,36,1738,102.5,1050,1041,1091
M,25,1786,75.6,920,782,956
M,22,1767,69.0,903,759,935
M,25,1744,64.4,904,742,905
F,16,1570,56.6,890,736,925
F,33,1636,58.7,841,730,981
F,35,1586,56.4,920,756,905
F,17,1635,66.3,945,860,975
F,19,1563,55.9,874,746,906
F,18,1557,51.8,775,684,825
M,29,1746,80.2,1020,851,985
F,35,1686,54.4,815,690,919
M,19,1681,59.8,845,760,938
M,17,1707,73.4,910,770,990
F,26,1670,58.3,851,700,984
M,35,1783,102.1,1048,1036,1100
F,16,1585,51.4,831,705,926
M,39,1732,81.2,971,905,1002
F,18,1616,52.3,811,684,916
F,16,1600,60.1,886,785,965
M,69,1675,69.3,950,832,950
F,34,1606,57.8,871,765,935
F,17,1593,60.3,852,703,963
M,41,1773,85.1,1013,862,1003
F,26,1615,49.0,800,690,904
F,27,1684,63.6,890,725,980
M,22,1746,66.3,921,731,937
M,16,1674,66.7,854,770,946
M,19,1730,70.4,933,818,940
F,45,1631,52.9,805,716,901
F,39,1564,52.9,809,694,902
M,41,1688,73.3,1030,924,958
M,17,1694,59.9,810,748,898
F,59,1506,60.9,997,913,900
M,68,1560,44.0,780,666,805
F,31,1628,58.1,875,740,956
M,51,1726,77.5,986,903,992
F,54,1549,50.9,891,745,856
F,27,1594,49.8,810,691,935
M,26,1892,103.7,1056,958,1104
F,22,1690,60.5,852,730,955
F,25,1577,52.2,830,682,930
M,59,1607,65.1,943,888,935
M,33,1785,92.9,1046,945,1025
F,39,1624,48.2,825,670,899
F,19,1566,57.2,830,760,995
M,17,1688,73.5,931,805,971
M,54,1705,73.9,972,902,960
M,35,1629,44.3,769,649,776
F,20,1732,60.3,855,690,950
F,33,1666,53.8,825,672,880
F,58,1503,58.3,965,831,915
F,55,1471,54.8,965,825,910
F,34,1530,55.5,900,790,961
F,16,1630,58.5,865,760,932
M,39,1675,83.0,1009,955,1021
F,39,1536,54.2,873,752,915
F,41,1613,49.6,820,672,850
F,33,1595,62.0,895,810,955
M,44,1721,59.9,870,739,895
F,16,1710,46.0,745,595,843
F,42,1610,54.3,863,720,906
M,47,1688,69.4,927,790,952
F,36,1562,51.3,811,690,940
F,16,1655,57.0,836,690,979
M,32,1808,71.2,945,810,937
M,18,1837,73.7,861,751,971
M,20,1650,89.7,1100,1057,1045
F,27,1551,52.6,820,717,934
M,16,1758,60.4,824,695,905
F,55,1476,47.6,886,745,851
F,37,1594,47.6,791,705,885
F,65,1496,61.4,981,881,934
F,48,1568,51.9,840,686,890
M,23,1702,54.5,830,660,845
F,19,1661,68.4,966,770,996
F,55,1528,58.6,921,917,895
M,18,1685,61.2,855,773,890
F,43,1572,57.3,930,745,885
M,53,1636,63.9,905,800,855
M,19,1703,58.8,821,735,924
F,34,1723,60.4,820,703,975
F,36,1672,60.7,823,757,972
F,40,1566,60.3,896,763,965
F,21,1615,63.5,900,772,975
F,53,1508,67.3,1005,875,945
M,27,1780,66.4,870,770,935
F,29,1501,40.0,790,640,818
M,17,1750,57.6,805,878,900
F,18,1558,67.0,921,834,1070
F,43,1585,51.4,805,685,885
M,18,1725,53.3,795,675,898
F,35,1538,57.8,930,805,904
M,33,1690,66.8,865,781,950
F,59,1619,75.6,1025,982,1029
F,37,1691,83.5,1018,995,1096
F,16,1649,53.5,785,654,895
M,26,1761,92.0,1057,930,1070
F,17,1516,52.3,810,702,962
M,16,1733,65.4,855,720,935
F,17,1550,52.0,838,682,907
M,32,1712,74.8,962,854,958
F,41,1558,50.3,805,695,921
M,58,1676,71.5,942,892,940
M,33,1770,71.9,935,848,960
M,24,1716,78.7,998,904,973
M,26,1775,107.7,1105,1110,1147
M,32,1725,72.8,947,811,963
M,25,1741,81.2,964,848,1035
F,19,1655,53.9,811,685,870
F,17,1572,55.4,881,690,930
F,54,1461,49.4,840,785,871
F,36,1456,46.0,826,780,851
F,67,1545,57.1,986,841,898
M,25,1635,62.3,808,745,920
F,23,1592,42.7,745,655,816
M,23,1754,92.3,1060,1040,1058
M,47,1850,83.9,998,956,980
M,26,1790,75.4,885,805,987
F,56,1481,55.1,915,825,935
M,37,1727,71.7,914,839,942
F,20,1640,49.5,802,620,870
M,19,1686,62.0,837,695,911
M,17,1733,71.7,850,803,990
M,20,1805,61.5,860,712,890
F,56,1542,50.0,861,795,851
M,44,1850,69.6,910,821,880
M,54,1729,77.6,1010,918,946
M,30,1697,62.5,883,733,892
M,40,1706,62.9,886,780,900
M,56,1644,78.3,1009,924,973
F,18,1549,64.3,948,824,995
F,36,1700,69.9,1003,860,990
F,28,1574,54.0,815,720,925
F,17,1625,50.3,786,640,900
F,57,1499,52.1,834,762,925
M,24,1718,68.7,892,826,931
F,61,1567,58.2,934,835,924
M,22,1733,63.6,866,726,936
M,50,1705,90.4,1037,1033,1051
M,17,1710,55.4,768,690,880
M,19,1757,56.7,832,730,890
M,52,1664,77.5,1022,939,1013
M,37,1784,75.0,908,810,958
F,36,1575,59.5,891,850,961
F,16,1639,56.8,864,715,940
F,20,1682,66.4,910,795,975
M,63,1673,69.8,960,905,939
F,49,1542,57.1,860,770,950
F,57,1479,59.1,991,921,937
F,19,1600,58.9,934,750,956
M,30,1824,81.2,950,864,1007
M,16,1662,57.0,761,686,875
F,43,1562,60.6,900,795,971
F,17,1480,43.5,775,660,850
F,18,1567,57.4,850,756,1002
M,19,1746,73.1,899,764,925
M,37,1608,73.4,996,873,977
F,16,1654,51.6,774,674,888
F,22,1565,46.5,778,676,865
M,56,1580,46.0,820,655,825
M,37,1718,78.8,960,960,986
M,26,1720,69.8,932,792,925
F,26,1556,53.4,790,730,964
F,36,1600,49.7,777,670,901
F,19,1636,45.4,772,620,835
F,18,1594,52.9,805,745,904
F,30,1612,56.7,886,762,971
M,18,1702,71.1,859,741,981
F,16,1568,48.3,736,616,876
M,23,1724,74.8,960,800,975
M,37,1675,67.6,880,874,948
M,17,1689,66.1,885,767,935
F,35,1685,52.7,773,675,905
M,17,1727,78.1,942,878,998
M,40,1800,83.1,992,915,1020
M,29,1724,87.3,1058,966,1070
M,17,1734,61.6,790,695,885
F,17,1651,61.8,860,725,945
M,23,1732,65.2,936,720,895
F,17,1631,52.3,785,676,893
F,17,1613,56.9,845,672,918
F,18,1570,47.6,750,673,898
F,29,1694,65.5,901,710,1007
M,29,1714,58.6,830,743,892
M,59,1799,86.9,1048,960,976
F,63,1580,62.6,982,872,953
F,49,1575,62.8,967,810,930
M,16,1620,71.1,935,845,975
M,20,1720,82.1,990,910,1040
M,24,1800,71.2,926,834,980
M,18,1711,59.5,834,720,905
F,16,1663,52.4,790,700,905
F,29,1576,61.4,925,786,956
M,17,1681,59.3,837,702,932
M,38,1675,73.6,997,834,960
F,68,1502,51.4,925,831,849
F,32,1530,46.5,770,670,892
M,67,1743,74.7,1003,902,910
F,30,1655,51.7,790,705,908
F,58,1612,72.1,1037,972,986
F,17,1578,49.0,815,683,910
F,17,1505,40.3,765,625,821
M,54,1649,65.8,887,822,920
F,37,1619,61.0,880,740,973
M,18,1728,61.6,840,720,931
M,26,1730,82.6,1012,862,1020
M,27,1735,79.0,970,910,997
F,35,1519,58.1,950,840,925
F,65,1465,79.7,1160,1155,1015
M,56,1672,58.4,850,769,891
F,28,1514,48.1,811,730,892
F,29,1670,55.8,850,705,890
M,53,1658,67.1,950,769,912
F,25,1682,70.2,904,821,988
M,33,1804,94.9,1075,1061,1079
M,56,1695,60.4,871,820,921
M,16,1711,56.8,775,630,880
F,17,1604,55.0,825,692,935
F,62,1500,51.3,867,775,931
M,54,1635,69.6,993,873,902
M,21,1860,71.0,880,774,932
F,60,1626,66.2,995,899,977
M,34,1702,85.2,1070,961,1007
F,22,1650,49.6,750,683,880
M,17,1728,72.5,997,790,975
F,23,1678,65.8,882,774,995
F,32,1550,42.2,811,670,828
M,25,1745,69.2,895,740,946
M,35,1810,80.1,995,850,967
M,18,1761,64.9,847,740,920
F,41,1525,47.7,774,665,841
F,29,1539,52.6,815,745,893
F,26,1540,40.7,688,605,803
F,52,1573,57.7,975,862,873
