gender,age,height,weight,bust_circumference,waist_circumference,hip_circumference,bmi
M,18,1674,52.9,790,655,851,18.88
M,18,1678,55.8,825,654,880,19.82
M,23,1790,57.5,800,650,870,17.95
F,37,1626,66.3,962,820,997,25.08
M,24,1722,69.2,948,785,937,23.34
M,57,1696,72.5,940,894,936,25.2
M,33,1710,72.7,940,810,988,24.86
F,19,1557,49.5,814,690,900,20.42
F,38,1577,62.1,885,745,1025,24.97
M,17,1654,61.3,845,738,910,22.41
F,26,1744,89.0,1042,908,1084,29.26
F,58,1539,54.6,891,800,875,23.05
F,16,1614,55.4,830,690,966,21.27
M,62,1716,75.9,1012,900,932,25.78
M,16,1714,59.2,823,690,890,20.15
F,45,1700,72.7,941,854,1055,25.16
M,26,1770,69.2,895,785,935,22.09
F,35,1562,46.7,778,634,893,19.14
M,34,1640,72.3,910,858,1008,26.88
M,25,1710,55.9,835,725,864,19.12
M,20,1739,67.2,955,830,930,22.22
M,35,1796,80.2,990,870,1004,24.86
F,33,1605,58.0,872,756,945,22.52
F,16,1572,54.2,803,707,920,21.93
M,26,1786,72.8,971,813,940,22.82
F,46,1490,62.7,930,835,1005,28.24
M,37,1766,77.1,958,890,982,24.72
M,16,1679,83.3,1012,896,1070,29.55
M,29,1713,59.0,828,697,902,20.11
F,19,1646,59.7,875,795,985,22.04
F,31,1600,52.0,806,746,933,20.31
M,38,1695,76.6,999,890,962,26.66
M,24,1715,70.6,906,789,977,24.0
F,33,1565,46.1,736,670,911,18.82
F,25,1655,49.0,776,673,895,17.89
M,42,1770,64.8,895,735,915,20.68
M,20,1739,79.7,1012,888,982,26.35
F,42,1654,57.2,825,748,935,20.91
F,42,1580,67.3,986,900,1015,26.96
F,18,1630,52.6,878,678,905,19.8
M,31,1770,69.1,895,760,920,22.06
F,46,1646,54.2,822,720,928,20.01
M,35,1691,57.4,893,765,872,20.07
F,17,1600,74.5,995,811,1055,29.1
F,22,1500,49.8,814,670,962,22.13
M,48,1696,69.7,910,838,945,24.23
M,26,1718,68.3,874,795,937,23.14
M,56,1652,72.4,965,942,945,26.53
M,21,1734,66.0,880,765,920,21.95
M,26,1641,63.4,835,797,817,23.54
F,18,1625,61.6,858,675,963,23.33
M,18,1778,83.2,946,875,1080,26.32
M,35,1682,71.5,911,805,972,25.27
M,24,1695,73.3,931,881,953,25.51
M,16,1630,68.0,930,825,970,25.59
F,21,1595,53.0,842,735,898,20.83
M,36,1838,80.9,967,819,970,23.95
M,24,1753,92.2,1093,990,1070,30.0
M,19,1730,67.2,920,715,928,22.45
M,39,1770,88.0,992,955,1048,28.09
F,18,1660,73.9,970,921,1005,26.82
M,37,1711,71.4,966,852,955,24.39
F,37,1625,53.0,820,682,915,20.07
F,20,1540,57.7,940,745,913,24.33
M,19,1760,85.1,994,992,1043,27.47
M,16,1655,45.0,766,616,780,16.43
F,31,1558,51.1,886,765,880,21.05
F,19,1558,49.9,747,641,910,20.56
F,34,1643,56.2,810,700,934,20.82
F,18,1662,63.9,872,735,967,23.13
F,47,1584,68.2,1015,889,991,27.18
M,36,1738,102.5,1050,1041,1091,33.93
M,25,1786,75.6,920,782,956,23.7
M,22,1767,69.0,903,759,935,22.1
M,25,1744,64.4,904,742,905,21.17
F,16,1570,56.6,890,736,925,22.96
F,33,1636,58.7,841,730,981,21.93
F,35,1586,56.4,920,756,905,22.42
F,17,1635,66.3,945,860,975,24.8
F,19,1563,55.9,874,746,906,22.88
F,18,1557,51.8,775,684,825,21.37
M,29,1746,80.2,1020,851,985,26.31
F,35,1686,54.4,815,690,919,19.14
M,19,1681,59.8,845,760,938,21.16
M,17,1707,73.4,910,770,990,25.19
F,26,1670,58.3,851,700,984,20.9
M,35,1783,102.1,1048,1036,1100,32.12
F,16,1585,51.4,831,705,926,20.46
M,39,1732,81.2,971,905,1002,27.07
F,18,1616,52.3,811,684,916,20.03
F,16,1600,60.1,886,785,965,23.48
M,69,1675,69.3,950,832,950,24.7
F,34,1606,57.8,871,765,935,22.41
F,17,1593,60.3,852,703,963,23.76
M,41,1773,85.1,1013,862,1003,27.07
F,26,1615,49.0,800,690,904,18.79
F,27,1684,63.6,890,725,980,22.43
M,22,1746,66.3,921,731,937,21.75
M,16,1674,66.7,854,770,946,23.8
M,19,1730,70.4,933,818,940,23.52
F,45,1631,52.9,805,716,901,19.89
F,39,1564,52.9,809,694,902,21.63
M,41,1688,73.3,1030,924,958,25.73
M,17,1694,59.9,810,748,898,20.87
